H22	10.95	48.36	-66.73
I01	25.87	2.04	-16.17
I02	25.78	3.22	-29.04
I03	25.31	5.35	-44.17
I04	24.86	8.74	-59.43
I05	44.19	1.11	-16.86
I06	44.06	3.65	-33.26
I07	44.13	6.12	-48.34
I08	43.45	8.09	-62.66
I09	69.13	0.11	-9.87
I10	68.80	1.39	-19.53
I11	68.15	2.49	-28.97
I12	66.22	3.64	-35.55
I13	71.75	-45.79	-28.26
I14	57.75	63.99	-39.37
I15	86.56	-0.79	83.74
I16	43.52	-0.57	-1.34
I17	53.88	53.96	42.71
I18	64.16	-58.04	46.40
I19	34.91	30.93	-73.02
I20	24.69	40.67	35.79
I21	30.97	-41.87	34.23
I22	9.53	37.85	-53.19
J01	15.81	9.86	-17.63
J02	15.35	19.53	-33.66
J03	14.97	28.84	-48.55
J04	14.88	39.66	-65.96
J05	39.22	9.30	-18.95
J06	38.63	20.60	-38.47
J07	38.11	31.67	-55.74
J08	36.74	41.71	-69.94
J09	68.99	6.02	-11.30
J10	68.28	13.53	-22.69
J11	66.80	21.22	-33.41
J12	63.91	25.98	-36.83
J13	68.88	-48.90	-32.01
J14	52.99	71.94	-43.77
J15	85.83	0.76	93.10
J16	32.70	-0.08	-0.98
J17	49.53	59.68	47.73
J18	60.08	-62.66	50.31
J19	27.92	40.43	-79.04
J20	19.74	30.36	27.17
J21	24.29	-32.05	25.35
J22	8.14	29.40	-41.73
K01	25.68	9.49	-8.15
K02	25.05	19.72	-16.19
K03	24.20	28.98	-22.97
K04	23.63	37.76	-29.36
K05	44.20	15.11	-12.47
K06	43.71	32.26	-24.70
K07	43.17	48.27	-36.26
K08	42.61	63.73	-46.51
K09	68.67	15.62	-11.27
K10	67.12	31.71	-23.32
K11	65.16	48.03	-32.71
K12	62.03	57.58	-35.42
K13	66.00	-50.98	-34.57
K14	48.13	78.33	-47.26
K15	85.18	3.39	102.00
K16	21.57	-0.62	-1.84
K17	45.53	63.94	54.24
K18	56.14	-65.50	53.97
K19	21.43	52.55	-86.06
K20	15.43	21.54	19.79
K21	17.87	-22.40	18.05
K22	6.72	21.12	-29.86
L01	20.95	7.43	-3.93
L02	20.56	15.72	-6.00
L03	20.12	23.06	-7.47
L04	19.58	30.41	-9.77
L05	39.49	12.05	-4.57
L06	38.92	26.50	-7.40
L07	38.98	40.22	-9.28
L08	38.19	53.99	-12.93
L09	68.46	16.64	-3.85
L10	67.03	33.59	-8.81
L11	64.71	47.72	-14.06
L12	61.84	53.41	-19.97
L13	59.64	-50.49	-42.87
L14	40.19	83.13	-51.50
L15	83.03	8.22	109.49
L16	7.41	-2.77	-1.43
L17	38.01	66.58	59.06
L18	47.35	-68.06	53.68
L19	12.57	66.21	-88.17
L20	10.09	13.15	10.98
L21	11.24	-13.90	9.93
L22	5.17	12.07	-17.93
Dmin	93.87	-0.41	2.12
GS01	80.34	-0.45	1.20
GS02	76.63	-0.17	0.66
GS03	72.79	-0.61	0.21
GS04	69.10	-1.04	0.23
GS05	65.57	-1.14	0.52
GS06	61.59	-1.21	0.31
GS07	57.11	-1.30	-0.12
GS08	53.01	-0.84	-0.48
GS09	49.20	-1.10	-1.16
GS10	45.42	-0.96	-1.33
GS11	41.82	-0.57	-1.80
GS12	38.18	-0.38	-1.88
GS13	34.69	-0.67	-1.77
GS14	31.13	-0.18	-1.23
GS15	27.13	-0.58	-1.61
GS16	23.16	-0.40	-1.98
GS17	19.24	-0.45	-2.19
GS18	15.57	-0.99	-1.83
GS19	12.07	-1.04	-2.23
GS20	10.73	-1.62	-2.10
GS21	8.70	-2.45	-1.70
GS22	5.72	-2.72	-1.22
Dmax	2.46	-0.01	-1.21
