I01	23.34	-0.22	-15.47
I02	23.32	1.23	-27.2
I03	23.07	4.27	-39.41
I04	22.81	5.61	-43.08
I05	43.99	0.95	-10.03
I06	44.12	1.4	-20.13
I07	44.02	2.45	-30.41
I08	43.01	6.41	-52.86
I09	69.56	0.92	-4.57
I10	69.88	1.68	-9.26
I11	70.18	1.98	-14.15
I12	69.38	3.73	-25.94
I13	65.09	-31.55	-23.65
I14	52.74	54.3	-31.41
I15	78.51	4.93	64.46
I16	27.27	-1.13	-1.73
I17	48.36	45.61	34.09
I18	53.36	-26.43	35.01
I19	35.71	20.89	-51.65
I20	21.69	36.44	28.36
I21	23.3	-21.6	26.96
I22	9.82	16.66	-40.75
J01	13.29	6.76	-16.99
J02	13.33	14.62	-28.92
J03	13.66	23.14	-43
J04	14.83	37.22	-65.75
J05	39.04	5.13	-11.33
J06	39.32	10.79	-20.79
J07	39.24	17.23	-30.91
J08	39.17	30.43	-53.85
J09	69.63	3.2	-4.37
J10	69.78	5.52	-9.13
J11	69.88	8.67	-14.41
J12	69.36	13.21	-23.73
J13	61.05	-34.48	-26.61
J14	48.13	60.99	-36.16
J15	76.41	5.12	71.73
J16	19.4	-1.49	-2.98
J17	43.24	49.44	36.98
J18	48.3	-30.82	37.78
J19	29.22	24.34	-58.13
J20	16.81	27.48	20.29
J21	18.88	-17.66	20.86
J22	7.83	11.37	-31.1
K01	24.08	11.84	-10.66
K02	24.46	27.41	-20.41
K03	24.76	41.06	-29.4
K04	26.03	49.17	-36.35
K05	44.3	12.36	-8.68
K06	44.63	23.81	-15.87
K07	44.58	34.17	-23.55
K08	43.64	58.03	-43.05
K09	69.01	6.74	-3.95
K10	69.14	12.64	-9.02
K11	69.44	18.66	-13.14
K12	68.95	32.05	-22.36
K13	56.84	-37.72	-28.89
K14	43.18	66.87	-39.35
K15	76	5.8	79.28
K16	10.12	-1.25	-3.94
K17	38.17	55.36	41.03
K18	43.01	-34.39	41.71
K19	22.5	29.15	-64.32
K20	11.9	17.87	11.99
K21	13.71	-13.78	13.43
K22	6.17	4.73	-22.2
L01	18.75	11.79	-4.61
L02	18.9	26.42	-6.08
L03	21.42	36.37	-6.37
L04	22.03	37.64	-7.06
L05	38.96	16.25	-3.82
L06	39.64	32.64	-5.18
L07	39.41	47.31	-8.62
L08	37.96	63.27	-13.76
L09	68.67	8.08	-1.54
L10	68.81	13.99	-2.36
L11	68.66	20.95	-2.88
L12	67.3	30.39	-6.91
L13	54.7	-38.78	-29.54
L14	38.84	71.04	-41.03
L15	75.23	5.22	84.36
L16	3.94	-2.24	-0.79
L17	33.11	57.54	44.53
L18	39.3	-36.66	47.91
L19	16.27	33.87	-68.46
L20	7.72	8.32	5.29
L21	6.5	-5.87	2.96
L22	5.13	0.32	-12.31
Dmin	91.66	-0.22	-0.22
GS01	86.94	-0.34	1.03
GS02	82.67	-0.16	0.62
GS03	78.02	-0.01	0.07
GS04	73.82	0.5	0.66
GS05	70.23	0.71	0.73
GS06	66.3	1.28	0.74
GS07	61.97	1.11	0.5
GS08	58.12	1	-0.11
GS09	54.11	0.61	0.19
GS10	50.3	0.83	0.3
GS11	46.53	0.82	-0.04
GS12	42.3	0.41	-0.38
GS13	37.96	0.19	-0.72
GS14	33.89	-1.68	-0.3
GS15	29.2	-1.12	-1.33
GS16	25.33	-1.87	-0.98
GS17	21.43	-1.1	-2.17
GS18	17.66	-2.63	-2.26
GS19	13.33	-2.73	-3.11
GS20	9.56	-1.35	-3.8
GS21	7.49	-1.67	-2.39
GS22	5.11	-1.69	-0.91
Dmax	3.71	-2.41	-0.76
